,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,213,10867,55734,362.69953051643193,40549.50704225352,68639.55399061032,77255,8637045,14620225,362.69953051643193,40549.50704225352,68639.55399061032,375.75978863890776,44913.32383814213,71230.1115946997,149246.25352112675,18617360.97652582,28417179.34741784,77255,8637045,14620225,80036.83498008735,9566537.977524275,15172013.769671038,31789452,3965497888,6052859201
2,181,10163,47520,373.8453038674033,41839.2044198895,70195.80662983426,67666,7572896,12705441,373.8453038674033,41839.2044198895,70195.80662983426,375.56440057117806,44453.9359709373,71801.36573564408,153366.72928176797,19005035.03314917,29312728.55801105,67666,7572896,12705441,67977.15650338323,8046162.410739652,12996047.19815158,27759378,3439911341,5305603869
3,127,2891,27967,264.74015748031496,26755.66929133858,52816.464566929135,33622,3397970,6707691,264.74015748031496,26755.66929133858,52816.464566929135,332.879437339555,38767.88301666382,63468.583612597926,105979.30708661418,13422691.35433071,19888821.27559055,33622,3397970,6707691,42275.688542123484,4923521.143116306,8060510.118799937,13459372,1704681802,2525880302
4,283,23933,74224,430.41342756183747,53329.826855123676,80223.97173144876,121807,15092341,22703384,430.41342756183747,53329.826855123676,80223.97173144876,414.40728572018537,52446.9388641407,77694.6613316279,186294.88339222615,23987546.632508833,35107373.56183746,121807,15092341,22703384,117277.26185881246,14842483.698551817,21987589.156850696,52721452,6788475697,9935386718
5,93,2812,16099,234.09782608695653,22824.695652173912,45902.25,21537,2099872,4223007,234.09782608695653,22824.695652173912,45902.25,317.50996521257014,36789.113262800915,60455.357801974,91215.64130434782,11559649.282608695,17074097.663043477,21537,2099872,4223007,29210.916799556453,3384598.420177684,5561892.917781608,8391839,1063487734,1570816985
6,423,56115,86519,468.9668246445498,65806.72274881517,82664.96208530806,197904,27770437,34884614,468.9668246445498,65806.72274881517,82664.96208530806,436.5010328916265,58287.59085603907,80012.75970775624,213625.51895734598,28836598.47393365,39289552.60663507,197904,27770437,34884614,184203.4358802664,24597363.341248486,33765384.59667313,90149969,12169044556,16580191200
7,479,61140,95303,453.19037656903765,65679.62970711297,80425.30543933055,216625,31394863,38443296,453.19037656903765,65679.62970711297,80425.30543933055,433.26866831796616,58891.76449519979,80283.59129287786,211239.32845188284,29313387.073221758,39030088.40167364,216625,31394863,38443296,207102.42345598782,28150263.428705502,38375556.637995616,100972399,14011799021,18656382256
8,83,1432,14334,207.70731707317074,18476.341463414636,40264.756097560974,17032,1515060,3301710,207.70731707317074,18476.341463414636,40264.756097560974,289.39474139122086,32228.88326861593,54310.32390287417,76910.18292682926,9592484.048780488,14216915.74390244,17032,1515060,3301710,23730.36879408011,2642768.428026506,4453446.560035681,6306635,786583692,1165787091
9,113,4019,20540,251.90265486725664,25697.035398230088,48747.69026548672,28465,2903765,5508489,251.90265486725664,25697.035398230088,48747.69026548672,326.1719435769828,38304.718865814124,61909.44236691495,99784.69026548673,12782446.044247787,18597228.601769913,28465,2903765,5508489,36857.42962419906,4328433.231836996,6995766.987461389,11275670,1444416403,2101486832
10,232,12880,59552,366.7241379310345,43148.36637931035,67831.84051724138,85080,10010421,15736987,366.7241379310345,43148.36637931035,67831.84051724138,375.3645178414455,45784.11336094006,71180.96868960791,153624.68103448275,19515544.974137932,29155121.400862068,85080,10010421,15736987,87084.56813921535,10621914.299738092,16513984.735989036,35640926,4527606434,6763988165
