uid,gender,ethnicity,rank_2015,age,party_membership_age,rank_2005,edu_2005
1,1,1,6,48.0904109589041,29.0246575342466,5,5
2,1,1,6,50.2904109589041,30.9424657534247,5,5
3,1,1,6,50.8438356164384,30.194520547945203,5,5
4,0,1,6,46.8684931506849,29.191780821917803,4,5
5,1,1,5,42.8657534246575,21.1013698630137,4,6
6,1,1,6,53.8739726027397,32.2767123287671,5,5
7,1,1,6,47.9534246575342,20.0191780821918,5,6
8,1,1,5,51.758904109589,28.5205479452055,5,5
9,1,1,5,43.0356164383562,20.0191780821918,4,4
10,1,1,6,52.7041095890411,31.6082191780822,5,6
11,1,1,6,39.7808219178082,20.2684931506849,5,6
12,1,1,5,58.8767123287671,38.9479452054794,5,4
13,1,1,5,51.041095890411,32.027397260274,4,5
14,1,1,6,58.7945205479452,39.0328767123288,6,5
15,1,1,6,55.706849315068496,28.9397260273973,5,3
16,1,1,5,52.5369863013699,29.358904109588998,4,3
17,1,1,5,40.5287671232877,19.6821917808219,4,6
18,0,1,5,38.2821917808219,17.0986301369863,5,5
19,1,1,9,66.9671232876712,43.3698630136986,9,5
20,1,1,9,58.709589041095896,31.6082191780822,7,4
21,1,1,8,59.295890410958904,34.1123287671233,7,4
22,1,1,7,52.5369863013699,34.6109589041096,6,5
23,1,1,7,61.8794520547945,29.6082191780822,7,4
24,1,1,7,52.3753424657534,28.6054794520548,6,5
25,1,1,6,44.1178082191781,20.0191780821918,4,4
26,1,1,6,54.706849315068496,32.2767123287671,5,5
27,1,1,6,61.0465753424658,34.0301369863014,6,5
28,1,1,5,51.5369863013699,30.4383561643836,5,3
29,1,1,5,37.1972602739726,13.095890410958901,4,5
30,1,1,6,60.54246575342469,23.0219178082192,6,4
31,1,1,6,48.7013698630137,29.6082191780822,5,4
32,1,1,6,48.8684931506849,20.9342465753425,4,5
33,1,1,5,47.786301369863,29.5232876712329,5,5
34,1,1,5,50.5369863013699,24.6027397260274,4,5
35,1,1,5,33.3616438356164,12.1808219178082,4,6
36,1,1,6,52.7890410958904,30.194520547945203,5,5
37,1,1,5,48.4493150684931,28.6054794520548,4,5
38,1,1,6,39.9479452054794,21.5178082191781,5,5
39,1,1,5,51.2082191780822,28.6054794520548,4,5
40,1,1,5,55.706849315068496,33.027397260274,5,5
41,1,1,5,50.7041095890411,32.6082191780822,5,3
42,1,1,5,39.8630136986301,18.6,4,5
43,1,1,6,53.2082191780822,33.6931506849315,5,5
44,1,1,5,56.53972602739729,34.441095890411,5,3
45,1,1,5,53.2082191780822,33.3616438356164,5,5
46,1,1,5,38.7808219178082,18.4301369863014,5,6
47,1,1,5,41.5315068493151,20.1013698630137,4,5
48,1,1,5,49.7890410958904,21.186301369863,5,5
49,1,1,5,49.1205479452055,29.690410958904103,4,5
50,1,1,6,56.45479452054791,31.6082191780822,6,5
51,1,1,6,48.372602739726,20.0191780821918,5,6
52,1,1,5,51.8712328767123,29.273972602739697,5,3
53,1,1,5,43.6986301369863,22.9369863013699,4,5
54,0,1,6,48.786301369863,29.273972602739697,5,5
55,1,1,6,51.7041095890411,31.6082191780822,5,3
56,1,1,5,55.45479452054791,34.5260273972603,5,5
57,1,1,5,41.2,17.2657534246575,4,5
58,1,1,5,55.293150684931504,32.2767123287671,5,3
59,1,1,6,56.958904109589,33.5260273972603,6,3
60,1,1,6,43.4465753424658,21.186301369863,5,6
61,1,1,6,54.378082191780805,32.6082191780822,5,4
62,1,1,5,49.7890410958904,23.6027397260274,4,5
63,1,1,5,44.7835616438356,21.3534246575342,4,4
64,1,1,6,52.7041095890411,33.8602739726027,6,5
65,1,1,6,43.7835616438356,20.6,4,5
66,1,1,5,41.1150684931507,20.3534246575342,5,5
67,1,1,6,62.630136986301395,35.5260273972603,6,4
68,1,1,6,55.378082191780805,32.6082191780822,6,5
69,1,1,6,55.2109589041096,33.5260273972603,6,4
70,1,1,6,48.5342465753425,20.6,6,6
71,1,1,6,48.9534246575342,28.358904109588998,5,5
72,1,1,6,51.5369863013699,31.857534246575298,5,5
73,1,1,6,41.1150684931507,18.2684931506849,5,6
74,1,1,5,50.7890410958904,30.5232876712329,3,5
75,1,1,6,58.54246575342469,39.5287671232877,6,5
76,1,1,6,62.46027397260271,39.613698630137,6,2
77,1,1,6,50.2082191780822,23.5178082191781,5,6
78,1,1,5,42.6986301369863,20.6821917808219,4,5
79,1,1,6,43.5315068493151,20.6,5,6
80,1,1,5,45.7013698630137,22.356164383561598,5,6
81,1,1,5,48.0383561643836,28.687671232876703,3,6
82,1,1,5,41.2821917808219,16.3506849315068,4,4
83,1,1,6,59.45753424657531,39.1150684931507,6,2
84,1,1,7,59.709589041095896,34.5260273972603,7,3
85,0,1,6,48.9534246575342,30.4383561643836,6,5
86,1,1,5,59.295890410958904,39.0328767123288,5,3
87,0,1,6,44.6164383561644,25.6054794520548,5,5
88,1,1,6,50.8712328767123,30.775342465753397,5,5
89,1,1,5,47.7013698630137,19.1013698630137,5,5
90,1,1,5,53.7068493150685,35.5260273972603,5,4
91,1,1,5,47.2054794520548,27.358904109588998,4,5
92,1,1,6,51.041095890411,31.3616438356164,6,4
93,1,1,6,52.8712328767123,30.775342465753397,5,5
94,1,1,5,60.9616438356164,31.857534246575298,5,4
95,1,1,5,48.8684931506849,27.358904109588998,5,5
96,1,1,5,47.9534246575342,23.271232876712297,5,5
97,1,1,5,42.0356164383562,18.9342465753425,5,6
